"user";"totalPR"
"rishikksh20";8
"robinschucker";1
"rsmith54";1
"rth";2
"rubik";1
"rushter";1
"ryanyu9";2
"SACHIN-13";1
"saihttam";1
"saiwing-yeung";2
"samsontmr";1
"samuelstjean";3
"scooler";1
"scottclowe";2
"seales";2
"seanpwilliams";1
"sebp";1
"Sentient07";1
"sergeyf";1
"shanmuga-cv";1
"shawpan";2
"shengxiduan";1
"shotat";1
"shubham0704";3
"shuckle16";1
"sid-kap";2
"sidgupta234";1
"sieben";13
"souravsingh";1
"srivatsan-ramesh";4
"srvanrell";1
"ssaeger";1
"sshkhrnwbie";1
"sshleifer";2
"ssktotoro";1
"staubda";3
"stephen-hoover";2
"StevenCHowell";1
"strixcuriosus";1
"superbobry";1
"t-lanigan";1
"tacaswell";1
"taion";1
"tboucher";1
"teaearlgraycold";1
"tfolkman";1
"tguillemot";17
"themrmax";3
"theofpa";1
"Titan-C";3
"tkamishima";2
"toastedcornflakes";4
"TomDLT";7
"tomlof";1
"tracer0tong";1
"trevorstephens";3
"Trion129";1
"TroJan";1
"tshauck";1
"tuevo21";1
"tzano";2
"varun-kr";1
"varunshenoy";1
"vharavu";1
"vibrantabhi19";1
"vighneshbirodkar";1
"viirya";1
"vinayak-mehta";1
"vincentpham1991";4
"vivekk-ezdi";1
"vlasisva";1
"vpoughon";1
"vruusmann";1
"waterponey";5
"wehlutyk";1
"welch";1
"willduan";1
"willingc";2
"wj1066";1
"wyseguy7";1
"xor";1
"xyguo";2
"yangarbiter";1
"yarikoptic";4
"yenchenlin";33
"yoavram";1
"yupbank";1
"zhengqm";1
"zhengruifeng";4
"ziky90";1
"zivori";1
"zorroblue";1
"ztultrebor";1
